scan,scan_key,scan_value,a,a_over_M,betaM2,beta_display_1e4,theta_obs_deg,epsilon_pert,epsilon_ok,Delta_cel_max,Delta_cel_mean,Delta_scr_max,Delta_scr_mean,d_plus,d_minus,d0,delta_d_br,w_br,f_br,N_plus,N_minus,N_br,r_plus,rcrit_min,rcrit_max,note,1e4_Delta_cel_max,1e4_Delta_cel_mean,100_delta_d_br,100_f_br
$10^4\beta M^2$-scan,beta,0.0,0.93,0.93,0.0,0.0,85.0,0.0,True,0.0,0.0,0.0,0.0,1.1382268635588444,1.1382268635588444,1.1382268635588444,0.0,0.0,0.0,2402,2402,2402,1.0714142842854277,1.0875776787535845,3.8567310161518797,OK,0.0,0.0,0.0,0.0
$10^4\beta M^2$-scan,beta,0.3,0.93,0.93,3e-05,0.3,85.0,0.013671045385417916,True,0.060112280719225884,0.010937512996562237,0.07266880213238426,0.012128846208797204,1.122680111874945,1.1460930288618894,1.134386570368417,0.020639275533154897,0.006223712229393428,0.005486412120845313,2396,2404,2396,1.071524131765403,1.0876872698373077,3.8498738801330106,OK,601.1228071922588,109.37512996562238,2.06392755331549,0.5486412120845313
$10^4\beta M^2$-scan,beta,0.5,0.93,0.93,5e-05,0.5,85.0,0.022785075642363192,True,0.08208703092604178,0.0180935532623052,0.09911853524277474,0.02004516439030558,1.1124845985052247,1.151415414876386,1.1319500066908055,0.03439269944877988,0.010262899624641452,0.009066566159263944,2392,2406,2392,1.071597280341254,1.087760247676236,3.8453025284338893,OK,820.8703092604178,180.935532623052,3.439269944877988,0.9066566159263943
$10^4\beta M^2$-scan,beta,0.7,0.93,0.93,7e-05,0.7,85.0,0.031899105899308465,True,0.09963405641929271,0.025167642287843763,0.12016978142307001,0.027858494584327844,1.1024196876559458,1.1567737598484373,1.1295967237521916,0.04811812131673253,0.014233318384731342,0.012600353812511426,2388,2408,2388,1.0716703626742887,1.0878331594269663,3.8407312345618694,OK,996.3405641929271,251.67642287843762,4.8118121316732525,1.2600353812511427
$10^4\beta M^2$-scan,beta,1.0,0.93,0.93,0.0001,1.0,85.0,0.045570151284726385,True,0.12120971257175935,0.03564448094832046,0.14595174480358045,0.03940967349829235,1.087558661095136,1.1649322990876212,1.1262454800913786,0.06870050922309356,0.020075358511286914,0.017825029148759015,2382,2412,2382,1.0717798623771677,1.0879424035453438,3.833874402135264,OK,1212.0971257175934,356.4448094832046,6.870050922309357,1.7825029148759015
$a/M$-scan,spin,0.0,0.0,0.0,0.0001,1.0,85.0,0.03544615384615384,True,0.03906959160768144,0.03906959160768144,0.042514164168042656,0.042514164168042656,1.145018379448762,1.2300467077848474,1.1875325436168047,0.07160084057748772,0.021257082084021328,0.01790021014437193,1500,1500,1500,1.9327899599914744,2.904190090403875,2.9141225954068473,OK,390.6959160768144,390.6959160768144,7.160084057748772,1.790021014437193
$a/M$-scan,spin,0.3,0.3,0.3,0.0001,1.0,85.0,0.03892004647293905,True,0.14692770969830354,0.043567103479377714,0.16473103227781796,0.04758359151843044,1.140992669810526,1.2254871663323836,1.1832399180714548,0.07140943711531811,0.020435904249997226,0.017271141666100484,694,706,690,1.8832296039000187,2.5330210531684063,3.2337258135079843,OK,1469.2770969830353,435.67103479377715,7.140943711531811,1.7271141666100485
$a/M$-scan,spin,0.6,0.6,0.6,0.0001,1.0,85.0,0.04221486293413648,True,0.11830303511604806,0.03852021661089883,0.13714058185687122,0.042358776105265485,1.12828261556017,1.210789531608109,1.1695360735841396,0.07054670472462622,0.020306379226054487,0.0173627643342577,1400,1422,1398,1.7142028749836054,2.0700727653646616,3.531191609399821,OK,1183.0303511604807,385.20216610898825,7.054670472462623,1.73627643342577
$a/M$-scan,spin,0.93,0.93,0.93,0.0001,1.0,85.0,0.045570151284726385,True,0.12120971257175935,0.03564448094832046,0.14595174480358045,0.03940967349829235,1.087558661095136,1.1649322990876212,1.1262454800913786,0.06870050922309356,0.020075358511286914,0.017825029148759015,2382,2412,2382,1.0717798623771677,1.0879424035453438,3.833874402135264,OK,1212.0971257175934,356.4448094832046,6.870050922309357,1.7825029148759015
$\theta_o$-scan,inclination,17.0,0.93,0.93,0.0001,1.0,17.0,0.045570151284726385,True,0.128116760181679,0.039054201035656204,0.1416681988103439,0.04205672270602332,1.0495612767320606,1.1298058774294037,1.089683577080732,0.0736402772191161,0.019593269974171313,0.017980696769480352,810,818,806,1.0717798623771677,1.8909544501918079,2.818571814421344,OK,1281.16760181679,390.54201035656206,7.364027721911611,1.798069676948035
